# schema=nsb-healpix-starlight-candidate-v5
# map_type=healpix
# coordinate_frame=galactic
# ordering=nested
# representation=sparse
# omitted_pixel_semantics=zero_flux_and_source_counts
# nside=128
# flux_quantity=integrated_per_pixel
# flux_unit=ph_m-2_s-1
pixel,flux_ph_m2_s,statistical_uncertainty_ph_m2_s,systematic_uncertainty_ph_m2_s,total_uncertainty_ph_m2_s,admitted_sources,excluded_sources
5419,2.70736245419165939e7,1.93322057921698142e5,5.51994105121818488e5,5.84868284460969619e5,1185,91
5420,2.05778729681554288e7,1.66152531368992291e5,4.82603681647157879e5,5.10404719041385106e5,1186,100
5421,2.19751946041442193e7,1.84911968681463768e5,5.05231975502427027e5,5.38007235296831001e5,1100,66
5422,1.02304216624121536e7,5.00899847013801264e4,2.85547588626800571e5,2.89907626560539182e5,1166,92
5423,1.62223263400446009e7,6.81369537702949601e4,3.86545476108144503e5,3.92504840185146546e5,1185,98
5424,1.71996163431254290e7,1.14265252666507993e5,4.64433485898492916e5,4.78283400078621344e5,1125,73
5425,2.94441710491660386e7,4.67311447148275853e5,8.33706536473387387e5,9.55743991660040454e5,1099,71
5426,5.61742470326901078e7,3.98087452794361103e5,8.61711791197377257e5,9.49221170834750752e5,1131,97
5427,4.14871584547546059e7,2.89897280617913522e5,8.64912826358125545e5,9.12203173919309629e5,1112,84
5428,1.41463291453668103e7,6.88014472700735059e4,3.64489383145252650e5,3.70926070224328490e5,1082,62
5429,1.33477795731104948e7,8.62542077062853205e4,3.66670477940299897e5,3.76678945177464047e5,1115,87
5430,1.31385972209054176e7,8.28083128727471048e4,3.50783632768133306e5,3.60425267841808498e5,1078,61
5431,2.36585003234313279e8,3.03304914269480668e6,3.60930304091398371e6,4.71449419801876880e6,1011,59
5432,1.17746129603087157e7,8.89340694192000083e4,3.44355674748555641e5,3.55654466350406059e5,1070,73
5433,1.88018643655394986e7,1.09738154672446486e5,4.50260581165020587e5,4.63440453070268675e5,1114,71
5434,3.81855688169927225e7,3.92262294083512621e5,6.70844454075515969e5,7.77111310510622570e5,1095,77
5435,1.08119512973328922e7,7.44659859533020062e4,3.08168109126253519e5,3.17037484450100746e5,1015,81
5436,2.72636937120520733e7,2.01257989746851701e5,5.78544401667056722e5,6.12550735153616872e5,1034,72
5437,2.48327546717068776e7,2.05289676302943466e5,5.28926095959148952e5,5.67368192784151528e5,1064,66
5438,7.60097436197241116e6,5.22418649504729619e4,3.68539237174960668e5,3.72223564260788553e5,1049,83
5439,2.52710729677495100e7,5.12794947992813075e5,7.66628494349947083e5,9.22322019164791913e5,1021,72
5440,1.78253166276120357e7,7.27178058881501638e4,3.37578978900317801e5,3.45322235438970674e5,1134,61
5441,1.10446530595170278e7,5.06904225503471753e4,2.97495354046494700e5,3.01783042296252912e5,1094,86
5442,3.08424344804816879e7,3.31667511940300057e5,8.32891830867532408e5,8.96499938874810701e5,1126,71
5443,2.75152364296649508e7,2.26929591319464555e5,6.73667383940914413e5,7.10862000392632210e5,1105,71
5444,1.20274231413032431e7,1.65877552470643306e5,3.61198560021591024e5,3.97466680585079885e5,1100,92
5445,1.56680734279385898e7,6.54025388274993675e4,3.59647280852055876e5,3.65545699891764729e5,1113,77
5446,3.02133207765306495e7,1.90923442107495299e5,5.63741466429586173e5,5.95194255448046490e5,1102,95
5447,1.17754001368724331e7,8.99193295953417546e4,2.90708610736477189e5,3.04297522486148926e5,1043,70
5448,3.93329667763395011e7,3.52886667823231430e5,7.88230076941080159e5,8.63617771078111138e5,1147,91
5449,1.67732041113627739e7,1.11454491431973714e5,4.27374398101605766e5,4.41668404816407128e5,1056,62
5450,1.07983458374715485e7,8.19029218496659014e4,3.02684277305964206e5,3.13569546250502986e5,1055,69
5451,1.84112314426181205e7,1.29428907592477844e5,4.10675542469854525e5,4.30588252630620962e5,1014,68
5452,4.70216401687108800e7,1.33199858928808430e6,1.48274902721390547e6,1.99317960042973282e6,1054,76
5453,5.07590836901120543e7,5.72113008488821681e5,1.48372762496530265e6,1.59020783533703815e6,1047,61
5454,2.18388507244973145e7,1.35909650834873959e5,5.93745918906327803e5,6.09102330818046466e5,1061,102
5455,2.62009912397084162e7,2.20965194254587608e5,6.50235744973982219e5,6.86754789654820925e5,1041,81
5456,4.89662553636085428e6,1.69700277132958254e4,1.55531189577899117e5,1.56454251371148188e5,782,64
5458,1.40425046854570378e7,9.31398803770318191e4,3.47952784147915081e5,3.60202966829721408e5,860,71
5464,1.06473210681141969e7,5.12516871675283910e4,3.05024745936353051e5,3.09300551359118836e5,1007,71
5465,1.74947955707657879e5,2.21168464463224245e3,3.94787876295796832e3,4.52518460334123665e3,15,2
5466,7.06957758793513943e6,2.51354066722300959e4,2.15641253132804908e5,2.17101217687199620e5,872,79
5467,1.17741373805885942e2,5.57032065606150795e1,1.03449612415206076e2,1.17493274403222372e2,1,0
5472,1.61441515765135288e7,7.07826363889482600e4,3.84856191818490333e5,3.91311218846585951e5,1049,97
5473,1.42748232443074808e7,7.19772092209689872e4,3.19665892440586933e5,3.27669042536941590e5,1077,83
5474,1.46027022205836792e7,7.35513066446040611e4,3.48257166962244431e5,3.55939389573136694e5,1036,87
5475,1.44404883528154101e7,6.93841568648254179e4,3.65888407401705219e5,3.72409033046727942e5,1040,69
