# wavelength_nm,irradiance_W_m2_nm
# source_product=tsis1_hsrs_p025nm
# source_release=TSIS-1 HSRS Version 2
# source_doi=https://doi.org/10.25980/ta3f-7h90
# units=W m^-2 nm^-1
# upstream_spectral_resolution_nm=0.025
# upstream_sampling_interval_nm=0.005
# reference_distance=1 AU
# runtime_grid_method=flux-conserving 1 nm cell means with exact 445/500/551 nm anchors
# runtime_sampling_interval_nm=1
364.000,1.09401191143457921e0
365.000,1.01429236154778479e0
366.000,1.31365176055134691e0
367.000,1.23806299648812224e0
368.000,1.15972634414901732e0
369.000,1.17207578775427868e0
370.000,1.31928848222960404e0
371.000,1.09884975222634229e0
372.000,1.08575838307758588e0
373.000,1.13766058821133820e0
374.000,9.07078124918612394e-1
375.000,8.72634650051448135e-1
376.000,1.14428587795276271e0
377.000,1.16478115800903126e0
378.000,1.42559075611973785e0
379.000,1.22447992126601246e0
380.000,1.09585994702672584e0
381.000,1.30050171977266293e0
382.000,9.62331437066497930e-1
383.000,6.82122331464279030e-1
384.000,7.63904943665872360e-1
385.000,1.14007312294657481e0
386.000,9.45488414524775833e-1
387.000,9.95760848733152737e-1
388.000,1.04337684286409682e0
389.000,1.06080132916642267e0
390.000,1.25577491106329164e0
391.000,1.32714236798333873e0
392.000,1.25856992012564439e0
393.000,7.06914332507661669e-1
394.000,7.42485470003801051e-1
395.000,1.25618116445314598e0
396.000,1.22875892415625976e0
397.000,5.74680630065383058e-1
398.000,1.39538945539551018e0
399.000,1.63147000077301096e0
400.000,1.68576932977660565e0
401.000,1.66884517261785703e0
402.000,1.79326274499510574e0
403.000,1.68551101294219841e0
404.000,1.83344048314927033e0
405.000,1.62878999329648644e0
406.000,1.60023775208078356e0
407.000,1.66089874534335880e0
408.000,1.69884636699588287e0
409.000,1.87218969768931598e0
410.000,1.52617110451414950e0
411.000,1.77614844315210374e0
412.000,1.86786394339053174e0
413.000,1.78150991311296703e0
414.000,1.81961485480132601e0
415.000,1.81838602741897359e0
416.000,1.78591076690118622e0
417.000,1.77947402273428223e0
418.000,1.73685658239205898e0
419.000,1.77245122849261461e0
420.000,1.66377803156906534e0
421.000,1.89277796065141746e0
422.000,1.84205069865802518e0
423.000,1.59567674052377551e0
424.000,1.72904981452743112e0
425.000,1.77517923832713875e0
426.000,1.67300253678574151e0
427.000,1.65183706191654123e0
428.000,1.70381786121763756e0
429.000,1.60267072062283544e0
430.000,1.29932540873054214e0
431.000,1.20050242689750419e0
432.000,1.89128954395564897e0
433.000,1.71060904882016263e0
434.000,1.54646847665794107e0
435.000,1.78246938178890879e0
436.000,1.88002273741112069e0
437.000,1.91552150482742989e0
438.000,1.69862273358766580e0
439.000,1.68734002099315439e0
440.000,1.86095422541887379e0
441.000,1.84006547370932227e0
442.000,1.92210911454670863e0
443.000,1.98899570198475439e0
444.000,1.78241059773975552e0
445.000,2.34759627800284276e0
446.000,1.63964388413789353e0
447.000,1.99165752332937851e0
448.000,2.03311810060055809e0
449.000,2.07299695759639446e0
450.000,2.05512645335370880e0
451.000,2.20492421766204405e0
452.000,2.09688156054789587e0
453.000,1.92308755673958842e0
454.000,2.05239289845592809e0
455.000,2.01106641657426177e0
456.000,2.10282545164448686e0
457.000,2.08527848131417803e0
458.000,2.08509653459979383e0
459.000,2.04241632710194176e0
460.000,2.02930330567898665e0
461.000,2.10326940117894345e0
462.000,2.11983544477657349e0
463.000,2.13303610652685505e0
464.000,2.06982000472077621e0
465.000,2.02685066290363380e0
466.000,2.08401645650881306e0
467.000,1.95254606740790493e0
468.000,2.04852362426410783e0
469.000,2.07492326219896706e0
470.000,1.99432491071766416e0
471.000,2.01621050614962050e0
472.000,2.10008381107136488e0
473.000,2.03971356463759568e0
474.000,2.07322389170232846e0
475.000,2.12698730266216751e0
476.000,2.05150895904040764e0
477.000,2.02789546382626629e0
478.000,2.15409193959758172e0
479.000,2.06711050408959007e0
480.000,2.13446764595632121e0
481.000,2.07734964887735929e0
482.000,2.13179054187574391e0
483.000,2.07318116521073259e0
484.000,2.03120095631325537e0
485.000,2.04806636139277121e0
486.000,1.60024818107865530e0
487.000,1.80858900668138500e0
488.000,2.00373757386064888e0
489.000,1.87430039071124943e0
