# schema=nsb-healpix-starlight-v2
# packer_id=candidate-v5-to-healpix-v2-packed-v1
# unit_conversion_id=pixel-flux-ph-m2-s-to-band-radiance-ph-cm2-ns-sr-v1+nested-to-ring-v1
# source_candidate_sha256=sha256:76191c8b682d96adfc3a017f44f3fcfd0bec5dcb9a958d31668250b8a0ba396a
# map_type=healpix
# coordinate_frame=galactic
# nside=128
# ordering=ring
# s10_diagnostics=not_provided
# band_definition=300-650 nm combined integrated photon radiance (corrected 300-336 nm UV + measured 336-650 nm)
# calibration_status=production
# dataset_name=NSB Gaia DR3 Starlight packed runtime map
# gaia_source_checksum_manifest_sha256=sha256:9ec782f9c83b29885924c7d47bba18d70c86b8cbefbc408b19090b6a76e8e369
# generated_by=nsb-data dataset starlight promote (candidate-v5-to-healpix-v2-packed-v1)
# generation_command=nsb-data dataset starlight promote --apply
# generation_date_utc=2026-08-24T00:00:00Z
# independent_comparison=no_admissible_independent_reference; human review #103
# magnitude_limit=Gaia DR3 catalogue as admitted by the frozen merge report
# map_resolution=HEALPix nside=128 ordering=ring
# photometry_model=gaia_dr3_xp_photon_radiance_300_650nm_packed_v1
# smoothing=none
# source_catalogue=Gaia DR3 GaiaSource and XP continuous
# source_catalogue_checksum=sha256:9ec782f9c83b29885924c7d47bba18d70c86b8cbefbc408b19090b6a76e8e369
# source_catalogue_license=CC BY-NC 3.0 IGO
# source_catalogue_release=Gaia DR3
# source_selection=Gaia DR3 full-population admission with photometric-inference fallback and selection-function weights
# validation_report=docs/nsb_components/starlight/production-runs/combined-300-650-validation.json
# version=uv-v2-packed-from-76191c8b682d96adfc3a017f44f3fcfd0bec5dcb9a958d31668250b8a0ba396a
# xp_continuous_checksum_manifest_sha256=sha256:f23df1ffb45b19fc3f34d6f37791179cef1ebec6c5b9fd613a488b3be580fccd
healpix_index,integrated_ph_cm2_ns_sr,statistical_uncertainty_ph_cm2_ns_sr,systematic_uncertainty_ph_cm2_ns_sr,total_uncertainty_ph_cm2_ns_sr
106,1.4466203005208345e-1,2.8558451350610865e-3,2.8390944094649445e-3,4.0269477897418998e-3
107,6.8592013126883497e-3,4.2987529062824631e-5,2.2622132998808647e-4,2.3026944607677736e-4
108,3.6219577045669152e-2,3.8530388600762977e-4,7.1061978422735147e-4,8.0835608633071372e-4
109,1.0058723342336869e-2,8.7330582722303698e-5,2.7764184232842508e-4,2.9105261258085142e-4
110,1.9609035515461865e-2,2.8925858475915221e-4,8.9798407806192802e-4,9.4342245749695739e-4
111,7.6652071696301245e-3,7.1454421184259762e-5,2.3144597255387607e-4,2.4222504519183632e-4
112,2.5925159027813068e-2,4.4034470197992727e-4,6.7836570671696783e-4,8.0875428197407534e-4
113,1.3660297995158605e-2,1.2734575271721444e-4,3.0929289848387716e-4,3.3448323992043590e-4
114,4.8037129149871328e-3,3.0302091955555291e-5,1.7744628835122297e-4,1.8001500500377268e-4
115,5.2496183524931954e-3,3.7869550550421813e-5,1.8091885759127227e-4,1.8483975733326965e-4
116,1.9533216405638314e-2,2.7195064212287838e-4,5.1982323997552175e-4,5.8666289517038210e-4
117,1.9312838960679854e-2,2.6434288470421140e-4,4.7908664867417100e-4,5.4717563691340689e-4
118,5.5772859293110781e-3,3.5466684875302943e-5,1.9493900000871971e-4,1.9813909119717810e-4
119,7.6809351224353057e-3,8.1143364906230523e-5,2.3067581354342681e-4,2.4453134077706171e-4
120,5.3771358252140584e-3,5.8591482155923032e-5,1.8378369198079845e-4,1.9289740075833280e-4
121,5.6991804999036210e-3,3.4997341207666421e-5,2.2714604515787279e-4,2.2982632512936416e-4
122,1.3089853180681088e-2,1.5697516431552753e-4,3.6389608001243759e-4,3.9630992828883975e-4
123,5.0808762029621920e-3,2.3068641048996909e-5,1.7075588752028424e-4,1.7230709597311256e-4
124,9.6422395420277234e-3,8.1481644315573173e-5,2.8023837654169277e-4,2.9184380419514333e-4
125,7.8975355533427195e-3,4.9705987984380742e-5,2.1900586470245000e-4,2.2457572000457050e-4
126,1.6409417048168323e-2,2.1461561214041003e-4,4.1835100762008335e-4,4.7018871376410334e-4
127,9.7568737852971755e-3,6.1255654035109961e-5,2.6431545788948207e-4,2.7132068927856508e-4
